0	unknown error
E68	incompatible __grid_constant__ annotation for parameter %s in function template redeclaration (see previous declaration %p)
E69	incompatible __grid_constant__ annotation for parameter %s in function specialization (see previous declaration %p)
E6A	incompatible __grid_constant__ annotation for parameter %s in instantiation directive (see previous declaration %p)
E6B	__grid_constant__ annotation is only allowed on a parameter of a __global__ function
E6C	__grid_constant__ annotation is only allowed for architecture compute_70 or later
E6D	cannot specify max blocks per cluster for this GPU architecture
E6E	max blocks per cluster must not be negative
E6F	max blocks per cluster is too large
E70	total number of blocks in cluster computed from __cluster_dims__ exceeds __launch_bounds__ specified limit for max blocks in cluster
E71	device code does not support coroutines
E72	The warnings can be suppressed with "-diag-suppress <warning-number>"
E73	'#pragma omp end declare variant' with no matching '#pragma omp begin declare variant'
E74	A __global__ function or function template cannot be marked consteval
E75	"__inline_hint__" and "__noinline__" may not be used on the same declaration
E76	"__inline_hint__" and "__forceinline__" may not be used on the same declaration
E77	a local type %t (defined in %sq1) used in global function %sq2 template argument, the global function cannot be launched from host code.
E78	%s is only allowed on a __global__ function
E79	%s is only allowed on a non-member function
E7A	The maximum number of registers that can be allocated per thread must be positive
E7B	The maximum number of registers that can be allocated per thread is too large
E7C	The %s qualifiers cannot be applied to the same kernel
E7D	The 'C' constraint can only be used for asm statements in device code
E7E	No constraint modifiers are allowed for the 'C' constraint
E7F	The expression for the 'C' constraint could not be folded, ensure that it is a constant expression
E80	The constant-expression for the 'C' constraint evaluated to the address of a variable (%sq) with unsupported type (%t) (expected variable to have type 'array of const char')
E81	The constant-expression for the 'C' constraint evaluated to the address of a variable (%sq) that does not have static storage duration
E82	The constant-expression for the 'C' constraint evaluated to the address of a variable (%sq) without constant initialization
E83	The constant-expression for the 'C' constraint evaluated to the address of a static class member variable (%sq) that was not initialized at the point of declaration in the class
E84	The constant-expression for the 'C' constraint did not evaluate to the address of a variable
E85	__wgmma_mma_async builtins are only available for sm_90a
E86	Non-constant argument to __wgmma_mma_async call
E87	The 'A' or 'B' argument to __wgmma_mma_async call is missing
E88	'A' argument must have void* or unsigned long long type
E89	'B' argument must be unsigned long long type
E8A	The shape %s is not supported for __wgmma_mma_async builtin
E8B	128-bit floating point type is only supported in Linux with the %sq flag in NVRTC
E8C	when "-static-global-template-stub=true", extern __global__ function template is not supported in whole program compilation mode ("-rdc=false"). To resolve the issue, either use separate compilation mode ("-rdc=true"), or explicitly set "-static-global-template-stub=false" (but see nvcc documentation about downsides of turning it off)
E8D	in whole program compilation mode ("-rdc=false"), extern __global__ function template will not be supported in the future, when "-static-global-template-stub" will be set to "true" by default. To resolve this issue, either use "-rdc=true", or explicitly set "-static-global-template-stub=false" (but see nvcc documentation about downsides of turning it off)
E8E	when "-static-global-template-stub=true" in whole program compilation mode ("-rdc=false"), a __global__ function template instantiation or specialization (%sq) must have a definition in the current translation unit. To resolve this issue, either use separate compilation mode ("-rdc=true"), or explicitly set "-static-global-template-stub=false" (but see nvcc documentation about downsides of turning it off)
E8F	in whole program compilation mode ("-rdc=false"), a __global__ function template instantiation or specialization (%sq) will be required to have a definition in the current translation unit, when "-static-global-template-stub" will be set to "true" by default in the future. To resolve this issue, either use "-rdc=true", or explicitly set "-static-global-template-stub=false" (but see nvcc documentation about downsides of turning it off)
E90	incompatible precompiled header (PCH) heap allocation address from PCH file %sq.  This usually occurs if the PCH file was not created by the same dynamic instance of the NVRTC library, or if the NVRTC PCH heap was freed or resized after the PCH file had been created (see documentation for details)
E91	%s
E92	potential call to %s1. mitigation: %s2
E93	address of internal linkage device function (%sq) was taken (nv bug 2001144). mitigation: no mitigation required if the address is not used for comparision, or if the target function is not a CUDA C++ builtin. Otherwise, write a wrapper function to call the builtin, and take the address of the wrapper function instead
E94	an inline asm statement with no outputs and with "memory" clobber was not marked as 'volatile' (nv bug 3970970). mitigation: explicitly mark the inline asm statement with 'volatile'
E95	The 'const' or 'volatile' qualifier for parameter %s in function template redeclaration does not match the 'const' or 'volatile' qualifier for the same parameter in the previous declaration %p (nv bug 2780831). mitigation: change source code so that the const/volatile qualifiers for the parameter are consistent across template redeclarations
E96	first argument must be a pointer to integer, enum, float or struct type
E97	atomic operations and, or, xor, add, sub, min and max are valid only on objects of size 4, or 8.
E98	atomic CAS is valid only on objects of size 2, 4, 8 or 16 bytes.
E99	atomic CAS is valid only on objects of size 4, 8 or 16 bytes.
E9A	atomic operations add and sub are not valid on signed integer of size 8.
